id,tema,subtema,lugar,tono,es_ambiguo,motivo_ambiguedad,contiene_pii,es_disenso,es_duplicado,id_origen_duplicado
REC-0001,otra,fuera de tema,,neutro,0,,0,0,0,
REC-0002,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0003,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0004,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0005,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0006,microbasurales y vertederos ilegales,microbasurales,cancha del barrio,neutro,0,,0,0,0,
REC-0007,otra,respuesta vacía o insuficiente,,neutro,0,,0,0,0,
REC-0008,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0009,microbasurales y vertederos ilegales,microbasurales,feria de los sábados,neutro,0,,0,0,0,
REC-0010,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0011,compostaje y residuos orgánicos,compostaje,,negativo,0,,0,0,0,
REC-0012,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0013,economía circular y reutilización,economía circular,,neutro,0,,0,0,0,
REC-0014,microbasurales y vertederos ilegales,microbasurales,,neutro,0,,0,0,0,
REC-0015,microbasurales y vertederos ilegales,microbasurales,plaza Los Copihues,neutro,0,,0,0,1,15
REC-0016,puntos limpios y contenedores,escepticismo sobre trazabilidad,,neutro,0,,0,1,0,
REC-0017,retiro domiciliario y frecuencia del camión,retiro domiciliario,,positivo,0,,0,0,0,
REC-0018,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,1,0,0,
REC-0019,puntos limpios y contenedores,puntos limpios,,positivo,0,,0,0,0,
REC-0020,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0021,economía circular y reutilización,economía circular,,neutro,0,,1,0,0,
REC-0022,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0023,educación y cultura del reciclaje,responsabilidad empresarial,,neutro,0,,0,1,0,
REC-0024,economía circular y reutilización,responsabilidad extendida del productor,,neutro,0,,0,1,0,
REC-0025,compostaje y residuos orgánicos,beneficio ambiental y externalidades,,mixto,1,Contiene simultáneamente una evaluación positiva y una queja vecinal.,0,0,1,159
REC-0026,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0027,retiro domiciliario y frecuencia del camión,desconfianza en la trazabilidad,,mixto,1,Expresa una adhesión débil al reciclaje junto con escepticismo y posible sarcasmo.,0,0,0,
REC-0028,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0029,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0030,recicladores de base,recicladores de base,,positivo,0,,0,0,0,
REC-0031,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0032,otra,fuera de tema,,neutro,0,,0,0,0,
