id,tema,subtema,lugar,tono,es_ambiguo,motivo_ambiguedad,contiene_pii,es_disenso,es_duplicado,id_origen_duplicado
SEG-0001,microtráfico y narco,microtráfico,paradero 14,negativo,0,,0,0,0,
SEG-0002,hurtos y robos,hurtos,,neutro,0,,1,0,0,
SEG-0003,presencia policial y municipal,efectos adversos del control,,neutro,0,,0,1,0,
SEG-0004,violencia intrafamiliar y convivencia vecinal,violencia intrafamiliar,,mixto,0,,1,0,0,
SEG-0005,presencia policial y municipal,presencia policial,,neutro,0,,0,0,0,
SEG-0006,violencia intrafamiliar y convivencia vecinal,violencia intrafamiliar,,negativo,0,,0,0,0,
SEG-0007,presencia policial y municipal,presencia policial,,mixto,0,,0,0,0,
SEG-0008,percepción de miedo e inseguridad,percepción de miedo e inseguridad,,negativo,0,,0,0,0,
SEG-0009,microtráfico y narco,microtráfico,,neutro,0,,0,0,0,
SEG-0010,violencia intrafamiliar y convivencia vecinal,violencia intrafamiliar,,negativo,0,,0,0,0,
SEG-0011,percepción de miedo e inseguridad,percepción de miedo e inseguridad,,positivo,0,,0,0,0,
SEG-0012,incivilidades,incivilidades,,neutro,0,,0,0,0,
SEG-0013,otra,respuesta vacía o insuficiente,,neutro,0,,0,0,0,
SEG-0014,microtráfico y narco,microtráfico,,neutro,0,,0,0,0,
SEG-0015,presencia policial y municipal,cámaras y uso del espacio público,,mixto,1,"Evalúa positivamente la reducción de reuniones, pero critica la vigilancia y el deterioro de la convivencia.",0,0,0,
SEG-0016,hurtos y robos,hurtos,,neutro,0,,0,0,0,
SEG-0017,violencia intrafamiliar y convivencia vecinal,violencia intrafamiliar,,neutro,0,,1,0,0,
SEG-0018,violencia intrafamiliar y convivencia vecinal,violencia intrafamiliar,,neutro,0,,0,0,0,
SEG-0019,incivilidades,incivilidades,,neutro,0,,0,0,1,162
SEG-0020,percepción de miedo e inseguridad,percepción de miedo e inseguridad,,negativo,0,,0,0,0,
SEG-0021,hurtos y robos,hurtos,,neutro,0,,0,0,0,
SEG-0022,hurtos y robos,hurtos,,negativo,0,,0,0,0,
SEG-0023,presencia policial y municipal,presencia policial,,neutro,0,,0,0,0,
SEG-0024,incivilidades,incivilidades,,neutro,0,,0,0,0,
SEG-0025,percepción de miedo e inseguridad,percepción de miedo e inseguridad,,positivo,0,,0,0,0,
SEG-0026,presencia policial y municipal,cámaras y uso del espacio público,,mixto,1,"Evalúa positivamente la reducción de reuniones, pero critica la vigilancia y el deterioro de la convivencia.",0,0,0,
SEG-0027,hurtos y robos,hurtos,,neutro,0,,0,0,0,
SEG-0028,incivilidades,incivilidades,,negativo,0,,0,0,0,
SEG-0029,microtráfico y narco,microtráfico,cancha del barrio,negativo,0,,0,0,0,
SEG-0030,hurtos y robos,hurtos,pasaje Las Lilas,neutro,0,,0,0,0,
SEG-0031,presencia policial y municipal,presencia policial,,neutro,0,,0,0,0,
SEG-0032,presencia policial y municipal,presencia policial,,mixto,0,,0,0,0,
SEG-0033,violencia intrafamiliar y convivencia vecinal,violencia intrafamiliar,,mixto,0,,0,0,0,
SEG-0034,incivilidades,incivilidades,,neutro,0,,0,0,0,
SEG-0035,incivilidades,incivilidades,,neutro,0,,0,0,0,
SEG-0036,incivilidades,incivilidades,,negativo,0,,0,0,0,
SEG-0037,incivilidades,incivilidades,,negativo,0,,0,0,0,
SEG-0038,otra,fuera de tema,,neutro,0,,0,0,0,
SEG-0039,incivilidades,incivilidades,,negativo,0,,1,0,0,
SEG-0040,otra,fuera de tema,,neutro,0,,0,0,0,
SEG-0041,iluminación y espacio público,iluminación,plaza Los Copihues,negativo,0,,0,0,0,
SEG-0042,iluminación y espacio público,iluminación,cancha del barrio,negativo,0,,0,0,0,
SEG-0043,violencia intrafamiliar y convivencia vecinal,violencia intrafamiliar,,neutro,0,,0,0,0,
SEG-0044,iluminación y espacio público,iluminación,,negativo,0,,0,0,0,
SEG-0045,incivilidades,incivilidades,,negativo,0,,0,0,0,
SEG-0046,iluminación y espacio público,iluminación,,negativo,0,,0,0,1,323
SEG-0047,hurtos y robos,hurtos,,neutro,0,,0,0,0,
SEG-0048,percepción de miedo e inseguridad,cuestionamiento de la percepción dominante,,neutro,0,,0,1,0,
SEG-0049,incivilidades,incivilidades,,negativo,0,,0,0,0,
SEG-0050,hurtos y robos,hurtos,pasaje Las Lilas,neutro,0,,0,0,0,
SEG-0051,hurtos y robos,hurtos,,negativo,0,,0,0,0,
SEG-0052,incivilidades,incivilidades,,neutro,0,,0,0,0,
SEG-0053,incivilidades,incivilidades,,neutro,0,,0,0,0,
SEG-0054,percepción de miedo e inseguridad,percepción de miedo e inseguridad,,neutro,0,,0,0,0,
SEG-0055,percepción de miedo e inseguridad,percepción de miedo e inseguridad,,neutro,0,,0,0,0,
SEG-0056,iluminación y espacio público,iluminación,,negativo,0,,1,0,0,
SEG-0057,violencia intrafamiliar y convivencia vecinal,violencia intrafamiliar,,mixto,0,,0,0,0,
SEG-0058,presencia policial y municipal,cámaras y uso del espacio público,,mixto,1,"Evalúa positivamente la reducción de reuniones, pero critica la vigilancia y el deterioro de la convivencia.",0,0,0,
SEG-0059,violencia intrafamiliar y convivencia vecinal,violencia intrafamiliar,,neutro,0,,0,0,0,
SEG-0060,percepción de miedo e inseguridad,percepción de miedo e inseguridad,,negativo,0,,0,0,0,
SEG-0061,percepción de miedo e inseguridad,percepción de miedo e inseguridad,,negativo,0,,0,0,0,
SEG-0062,iluminación y espacio público,iluminación,,positivo,0,,0,0,0,
SEG-0063,hurtos y robos,hurtos,villa El Sol,neutro,0,,0,0,0,
SEG-0064,iluminación y espacio público,iluminación,,positivo,0,,0,0,0,
SEG-0065,iluminación y espacio público,iluminación,,negativo,0,,1,0,0,
SEG-0066,presencia policial y municipal,presencia policial,,neutro,0,,0,0,0,
SEG-0067,violencia intrafamiliar y convivencia vecinal,violencia intrafamiliar,,mixto,0,,0,0,0,
SEG-0068,violencia intrafamiliar y convivencia vecinal,violencia intrafamiliar,,neutro,0,,0,0,0,
SEG-0069,hurtos y robos,hurtos,feria de los sábados,neutro,0,,0,0,0,
SEG-0070,hurtos y robos,hurtos,feria de los sábados,neutro,0,,0,0,0,
SEG-0071,incivilidades,incivilidades,,negativo,0,,0,0,0,
SEG-0072,percepción de miedo e inseguridad,percepción de miedo e inseguridad,,negativo,0,,0,0,0,
SEG-0073,incivilidades,incivilidades,,negativo,0,,1,0,0,
SEG-0074,iluminación y espacio público,iluminación,,negativo,0,,0,0,0,
SEG-0075,percepción de miedo e inseguridad,percepción de miedo e inseguridad,,neutro,0,,0,0,0,
SEG-0076,iluminación y espacio público,iluminación,,negativo,0,,0,0,0,
SEG-0077,percepción de miedo e inseguridad,percepción de miedo e inseguridad,,negativo,0,,0,0,0,
