id,respuesta,comuna,canal,grupo_edad
REC-0001,Gracias por escuchar a los vecinos.,,cabildo,
REC-0002,La gente mezcla todo porque nadie explica qué va en cada contenedor.,Puente Alto,whatsapp_municipal,30-44
REC-0003,La gente mezcla todo porque nadie explica qué va en cada contenedor.,,cabildo,
REC-0004,El camión pasa cuando quiere y las bolsas quedan dos días en la calle.,Quilicura,formulario_papel,60+
REC-0005,Con los restos de la feria podríamos hacer compost para las áreas verdes.,Puente Alto,formulario_papel,60+
REC-0006,En el sitio eriazo de cancha del barrio botan colchones y escombros todas las noches.,Puente Alto,cabildo,60+
REC-0007,.,Quilicura,whatsapp_municipal,30-44
REC-0008,"La muni limpia el microbasural y a los tres días está igual, falta fiscalización.",Paine,consulta_web,18-29
REC-0009,En el sitio eriazo de feria de los sábados botan colchones y escombros todas las noches.,,consulta_web,
REC-0010,"La muni limpia el microbasural y a los tres días está igual, falta fiscalización.",Maipú,buzón_vecinal,30-44
REC-0011,"Probé compostaje en la casa y funciona, falta enseñar bien para que no quede la caga.",Recoleta,consulta_web,60+
REC-0012,Quiero compostar pero vivo en depto y no tengo dónde llevar los orgánicos.,El Bosque,cabildo,30-44
REC-0013,Podrían organizar ferias de trueque y reparación en vez de botar todo.,,formulario_papel,
REC-0014,pongan barreras o cámaras porque ese vertedero ilegal crece cada semana.,La Pintana,cabildo,45-59
REC-0015,En el sitio eriazo de plaza Los Copihues botan colchones y escombros todas las noches.,Peñalolén,cabildo,30-44
REC-0016,Los puntos limpios son greenwashing si después mezclan todo en el mismo camión.,Quilicura,cabildo,30-44
REC-0017,Cuando el camión cumple el horario se nota mucho más limpio el barrio.,Peñalolén,buzón_vecinal,30-44
REC-0018,Hay gente que viene de otras comunas a dejar basura en la esquina. Mi vecino Luis Araya puede confirmar esto.,Recoleta,consulta_web,30-44
REC-0019,El contenedor nuevo funciona bien ojalá lo retiren antes de que colapse.,Estación Central,consulta_web,18-29
REC-0020,"En mi casa separamos hace años, pero varios vecinos todavía tiran todo junto.",La Pintana,whatsapp_municipal,60+
REC-0021,Podrían organizar ferias de trueque y reparación en vez de botar todo. Esto pasa frente a Santa Rosa 1527.,Estación Central,buzón_vecinal,30-44
