id,respuesta,comuna,canal,grupo_edad
SEG-0001,En paradero 14 venden droga como si nada y en la noche se escuchan balazos.,San José de Maipo,formulario_papel,30-44
SEG-0002,"Se metieron a dos casas esta semana, necesitamos alguna medida concreta. Me pueden llamar al +569 8569 8473.",San Joaquín,whatsapp_municipal,18-29
SEG-0003,"Más patrullas no siempre significa más seguridad, a varios jóvenes los controlan solo por cómo se ven.",,formulario_papel,
SEG-0004,"Hay una familia con problemas graves y el barrio solo comenta, falta apoyo profesional!!! Dejé el reclamo a nombre de Patricia Muñoz, RUT 12.806.215-4.",Estación Central,consulta_web,30-44
SEG-0005,"Necesitamos más patrullaje de verdad, no una vuelta rápida para la foto.",,cabildo,
SEG-0006,"La convivencia está pésima, cualquier discusión termina en insultos.",Huechuraba,formulario_papel,30-44
SEG-0007,"Carabineros pasa más seguido y se nota, aunque todavía falta coordinación con seguridad municipal.",Pudahuel,whatsapp_municipal,45-59
SEG-0008,"No me ha pasado nada, pero igual no salgo después de las nueve por miedo.",San José de Maipo,whatsapp_municipal,45-59
SEG-0009,"Hay cabros ofreciendo pasta cerca del colegio, esto ya se salió de control.",,buzón_vecinal,
SEG-0010,"La convivencia está pésima, cualquier discusión termina en insultos.",San Joaquín,formulario_papel,18-29
SEG-0011,"Antes caminaba tranquila, ahora pido que me vayan a buscar al paradero.",El Bosque,buzón_vecinal,45-59
SEG-0012,"Los carretes duran hasta las 5 am y nadie fiscaliza, imposible dormir.",San José de Maipo,whatsapp_municipal,30-44
SEG-0013,no sé,,buzón_vecinal,
SEG-0014,"Hay cabros ofreciendo pasta cerca del colegio, esto ya se salió de control.",Santiago,consulta_web,60+
SEG-0015,"Desde que pusieron cámaras ya no se juntan en la plaza; quedó más tranquila, pero ahora parece cárcel.",,cabildo,
SEG-0016,"Los portonazos tan brigidos, uno ya entra mirando para todos lados.",San Joaquín,cabildo,60+
SEG-0017,"Mi vecino amenaza a todos por el estacionamiento, ya no se puede conversar. Dejé el reclamo a nombre de Juan Pérez, RUT 16.779.318-2.",Santiago,consulta_web,18-29
SEG-0018,"En la casa de al lado se escuchan gritos y golpes, alguien debería intervenir con cuidado.",Peñalolén,formulario_papel,18-29
SEG-0019,"El comercio ambulante dejó la vereda intransitable, pero tampoco es llegar y echarlos.",,cabildo,
SEG-0020,"No me ha pasado nada, pero igual no salgo después de las nueve por miedo.",San José de Maipo,consulta_web,45-59
SEG-0021,"Los portonazos están brigidos, uno ya entra mirando para todos lados.",,whatsapp_municipal,
SEG-0022,Me robaron el celu saliendo del metro y no había nadie patrullando!!!,Renca,cabildo,60+
SEG-0023,Las cámaras sirven si alguien las mira si no son puro adorno.,Recoleta,buzón_vecinal,60+
SEG-0024,"El comercio ambulante dejó la vereda intransitable, pero tampoco es llegar y echarlos.",Puente Alto,formulario_papel,18-29
SEG-0025,"Antes caminaba tranquila, ahora pido que me vayan a buscar al paradero.",Quilicura,buzón_vecinal,60+
SEG-0026,"Desde que pusieron cámaras ya no se juntan en la plaza; quedó más tranquila, pero ahora parece cárcel.",La Florida,cabildo,45-59
SEG-0027,"Se metieron a dos casas esta semana, necesitamos alguna medida concreta.",Quilicura,buzón_vecinal,18-29
SEG-0028,ponen música a todo chancho y cuando uno reclama se ponen violentos.,Huechuraba,formulario_papel,18-29
